link,area,year_built,rooms,floor,region,total_price,price_per_m2,has_elevator,has_parking,has_storage,is_new,is_renovated,has_balcony,good_light,luxury_keywords,has_doc
https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF-90-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D8%B1%D8%AC-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%DA%A9%D9%88%D9%86%D8%AA-%D8%A8%D8%A7-%D9%88%D8%A7%D9%85/QaU6ZKV9,90,1404,2,5.0,پونک,13950000000,155000000.0,1,1,1,1,0,0,0,0,0
https://divar.ir/v/52%D9%85%D8%AA%D8%B1-%D8%AA%D8%A7-100%D9%85%D8%AA%D8%B1%DB%8C-%D8%B3%D9%86%D8%AF-%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D9%88%DB%8C%DA%98%D9%87-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QahaWdUs,90,1403,2,7.0,پونک,23400000000,260000000.0,1,1,1,0,0,0,0,0,0
https://divar.ir/v/67%D9%85-1%D8%AE-%D9%BE%D9%88%D9%86%DA%A9/Qah28-Wi,67,1403,1,4.0,پونک,17700000000,264179104.47761193,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B1%DB%B5%D9%85%D8%AA%D8%B1%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D8%BA%D8%B1%D8%A8%DB%8C/QaeO-Ay_,115,1392,2,3.0,پونک,30000000000,260869565.2173913,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B3%DB%B0%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9-%D8%B2%DB%8C%D8%B1-%D9%82%DB%8C%D9%85%D8%AA/QahudkgH,130,1390,3,1.0,پونک,24350000000,187307692.30769232,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B3%DB%B1%DB%B0%D9%85%D8%AA%D8%B1%DB%B4%D8%AE-%D8%B3%D9%88%D9%BE%D8%B1%D9%84%D8%A7%DA%A9%DA%86%D8%B1%DB%8C-%D9%BE%D9%88%D9%86%DA%A9-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QaTOQNeG,310,1403,4,34.0,پونک,87000000000,280645161.2903226,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B9%DB%B8-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A2%D8%A8%DB%8C-%DB%B2-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B3%D9%86%D8%AF%DB%8C/QaL2ku48,98,1393,2,28.0,پونک,26200000000,267346938.7755102,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B3%DB%B2-%D9%85%D8%AA%D8%B1%DB%8C-%D9%BE%D9%88%D9%86%DA%A9/Qah6VgJd,132,1387,3,3.0,پونک,27500000000,208333333.33333334,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1-%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D9%86%D9%88%D8%B3%D8%A7%D8%B2/Qad1vW4w,170,1403,3,46.0,پونک,53000000000,311764705.88235295,1,1,1,0,0,0,0,0,0
https://divar.ir/v/86-%D9%85%D8%AA%D8%B1-%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D8%B1%D9%88-%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B3%D9%86%D8%AF%DB%8C/QahaXQdi,86,1389,2,2.0,پونک,16930000000,196860465.11627907,1,1,1,1,1,1,1,1,1
https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%DB%B1%DB%B7%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87/Qaz5n7wa,170,1402,3,1.0,پونک,34000000000,200000000.0,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B4%DB%B9-%D9%85%D8%AA%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/QagqTlgx,149,1404,3,4.0,پونک,37200000000,249664429.53020135,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B3%DB%B6%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%A8%D8%AF%D9%88%D9%86-%D9%85%D8%B4%D8%A7%D8%A8%D9%87-%D9%88%DB%8C%D9%88-%D8%A7%D8%A8%D8%AF%DB%8C-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/QahynaME,136,1404,3,45.0,پونک,35000000000,257352941.17647058,1,1,1,0,0,0,0,0,0
https://divar.ir/v/130-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1-%D8%B3%D9%88%D9%86%D8%A7-%D8%AC%DA%A9%D9%88%D8%B2%DB%8C-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QahiaRuN,130,1400,3,9.0,پونک,42000000000,323076923.0769231,1,1,1,0,0,0,0,0,0
