link,area,year_built,rooms,floor,region,total_price,price_per_m2,has_elevator,has_parking,has_storage,is_new,is_renovated,has_balcony,good_light,luxury_keywords,has_doc
https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF-90-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D8%B1%D8%AC-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%DA%A9%D9%88%D9%86%D8%AA-%D8%A8%D8%A7-%D9%88%D8%A7%D9%85/QaU6ZKV9,90,1404,2,5,پونک,13950000000,155000000,1,1,1,1,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%AF%D9%88-%DA%A9%D9%84%D9%87-%D9%86%D9%88%D8%B1-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/QagWQ9Ex,160,1395,3,16039,پونک,45000000000,281250000,1,1,1,0,0,0,1,1,0
https://divar.ir/v/%DB%B1%DB%B1%DB%B5-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%B7%D8%A8%D9%82%D9%87%DB%B5-%D8%AF%D8%B1-%D9%BE%D9%88%D9%86%DA%A9-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C/QaRhiCDF,115,1392,2,55,پونک,23000000000,200000000,1,1,1,0,0,1,1,0,0
https://divar.ir/v/52%D9%85%D8%AA%D8%B1-%D8%AA%D8%A7-100%D9%85%D8%AA%D8%B1%DB%8C-%D8%B3%D9%86%D8%AF-%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D9%88%DB%8C%DA%98%D9%87-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QahaWdUs,90,1403,2,7,,23400000000,260000000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/67%D9%85-1%D8%AE-%D9%BE%D9%88%D9%86%DA%A9/Qah28-Wi,67,1403,1,4,,17700000000,264179000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B3%DB%B0-%D9%85%D8%AA%D8%B1-%D8%A8%D8%B1%D8%AC-%D8%B5%D8%A8%D8%A7-%D9%86%D9%81%D8%AA-%D9%86%DB%8C%D8%A7%DB%8C%D8%B4/QaWqMDkz,130,1404,2,8,,9500000000,73076000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%DB%B1%DB%B2%DB%B0%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%85%D8%A7-%D8%AA%D8%B1%DA%A9%DB%8C%D8%A8%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA/Qahu6G4Q,120,1398,2,12022515,,22800000000,190000000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B5%DB%B0%D9%85%DB%B3%D8%AE-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%A7%D8%B4%D8%B1%D9%81%DB%8C-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%DB%8C/QaeO9Ktv,150,1404,3,15035824,,39000000000,260000000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%DB%B1%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%AE%D8%B7%DB%8C-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D9%88%DB%8C%D9%88-%D8%AF%D8%A7%D8%B1/Qaa--szC,100,1396,2,55,پونک,22500000000,225000000,1,1,1,1,1,1,0,0,1
https://divar.ir/v/%DB%B1%DB%B1%DB%B4%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%B9%D8%AF%D9%84-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%D9%81%D8%B1%D9%88%D8%B4%D9%86%D8%AF%D9%87-%D9%88%D8%A7%D9%82%D8%B9%DB%8C/QahC6INb,114,1396,2,11412010,پونک,27000000000,236842000,1,1,1,0,0,1,1,0,1
